GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Five-analysis-system,com._5ganalysisrate.g5rate.model,TestData,427,70,96,2,9,11,62,16,13,16
Five-analysis-system,com._5ganalysisrate.g5rate.service.ai,AiAnalysisService,580,19,46,0,118,6,31,2,8,2
Five-analysis-system,com._5ganalysisrate.g5rate.service.ai,AnalysisTaskService,946,33,46,0,204,3,55,2,32,2
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO.Evidence,155,0,30,0,4,0,26,0,11,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO,280,0,54,0,7,0,44,0,17,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,FeedbackRequest,196,0,38,0,5,0,32,0,13,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO.ComplianceCheck,102,0,18,0,3,0,18,0,9,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AnalysisTaskDTO,342,0,64,0,9,0,53,0,21,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO.Finding,236,0,46,0,6,0,38,0,15,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO.RootCause,155,0,30,0,4,0,26,0,11,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto.ai,AiAnalysisResultDTO.Action,195,0,38,0,5,0,32,0,13,0
Five-analysis-system,com._5ganalysisrate.g5rate.config,JpaConfig,0,11,0,0,0,3,0,3,0,3
Five-analysis-system,com._5ganalysisrate.g5rate.config,SecurityConfig,0,52,0,0,0,10,0,7,0,7
Five-analysis-system,com._5ganalysisrate.g5rate.config,EntityExclusionConfig,0,3,0,0,0,1,0,1,0,1
Five-analysis-system,com._5ganalysisrate.g5rate.config,CacheConfig,0,21,0,0,0,8,0,3,0,3
Five-analysis-system,com._5ganalysisrate.g5rate.config,CorsConfig,30,84,8,4,6,16,7,5,1,5
Five-analysis-system,com._5ganalysisrate.g5rate.config,GlobalExceptionHandler,28,17,0,0,6,4,3,3,3,3
Five-analysis-system,com._5ganalysisrate.g5rate.config,WebConfig,0,53,0,0,0,8,0,2,0,2
Five-analysis-system,com._5ganalysisrate.g5rate.dto,ChartDataDTO.SeriesData,197,0,38,0,5,0,32,0,13,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,ExcelDataDTO,476,0,94,0,12,0,74,0,27,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,ChartDataDTO,237,0,46,0,6,0,38,0,15,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,ChartDataDTO.PieData,121,0,22,0,4,0,20,0,9,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,ApiResponse,115,55,24,0,0,14,16,10,4,10
Five-analysis-system,com._5ganalysisrate.g5rate.dto,TimeSeriesQueryDTO,158,0,30,0,4,0,26,0,11,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,RateDistributionDTO,116,0,16,0,5,0,18,0,10,0
Five-analysis-system,com._5ganalysisrate.g5rate.dto,RateRangeDTO,124,0,22,0,5,0,21,0,10,0
Five-analysis-system,com._5ganalysisrate,FiveAnalysisSystemApplication,5,19,0,0,2,6,1,4,1,4
Five-analysis-system,com._5ganalysisrate.g5rate.controller,TestDataController,141,7,2,0,31,2,4,2,3,2
Five-analysis-system,com._5ganalysisrate.g5rate.controller,FileController,32,7,0,0,9,2,1,2,1,2
Five-analysis-system,com._5ganalysisrate.g5rate.controller,AnalysisTaskController,202,10,10,0,52,2,12,2,7,2
Five-analysis-system,com._5ganalysisrate.g5rate.controller,AnalysisController,184,288,41,23,41,56,28,11,1,6
Five-analysis-system,com._5ganalysisrate.g5rate.model.request,PeakRateRequest,136,0,14,0,5,0,20,0,13,0
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisResultRule,320,3,64,0,9,1,51,1,19,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisTask.TaskStatus,0,33,0,0,0,2,0,1,0,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisFeedback.FeedbackType,0,21,0,0,0,2,0,1,0,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisTask,398,12,76,0,15,4,62,1,24,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisResultAi,440,3,88,0,12,1,69,1,25,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisTask.TaskType,0,15,0,0,0,2,0,1,0,1
Five-analysis-system,com._5ganalysisrate.g5rate.model.ai,AnalysisFeedback,321,3,64,0,9,1,51,1,19,1
Five-analysis-system,com._5ganalysisrate.g5rate.service,FileService,1130,1019,232,135,256,246,178,22,2,9
Five-analysis-system,com._5ganalysisrate.g5rate.service,AnalysisService,2111,1356,266,68,364,196,164,30,11,11
